iter	Passed	Remaining
0	41	41583
1	45	22524
2	48	16125
3	53	13210
4	58	11676
5	75	12439
6	79	11217
7	86	10668
8	89	9872
9	94	9311
10	98	8855
11	102	8398
12	105	8025
13	109	7718
14	113	7433
15	116	7191
16	121	7019
17	129	7043
18	135	7021
19	139	6852
20	143	6707
21	150	6690
22	155	6598
23	158	6463
24	165	6466
25	170	6371
26	173	6248
27	179	6248
28	184	6165
29	187	6069
30	191	5984
31	198	6018
32	232	6799
33	235	6704
34	239	6606
35	243	6510
36	246	6422
37	250	6344
38	256	6322
39	269	6467
40	273	6386
41	278	6351
42	285	6343
43	292	6362
44	298	6339
45	307	6379
46	314	6368
47	322	6391
48	330	6417
49	334	6359
50	343	6384
51	349	6369
52	367	6558
53	379	6640
54	385	6617
55	399	6735
56	433	7164
57	436	7086
58	439	7006
59	444	6956
60	448	6907
61	453	6854
62	464	6911
63	469	6866
64	473	6810
65	479	6783
66	485	6754
67	492	6744
68	496	6698
69	502	6673
70	505	6619
71	510	6574
72	513	6514
73	519	6500
74	525	6475
75	528	6423
76	532	6383
77	537	6357
78	542	6319
79	544	6267
80	548	6222
81	554	6203
82	558	6174
83	563	6149
84	570	6141
85	574	6104
86	578	6065
87	584	6059
88	590	6046
89	623	6303
90	626	6262
91	630	6222
92	633	6180
93	638	6150
94	642	6119
95	648	6104
96	651	6067
97	664	6113
98	669	6089
99	674	6071
100	681	6064
101	685	6036
102	692	6029
103	696	6002
104	701	5982
105	709	5980
106	714	5964
107	720	5946
108	726	5934
109	734	5939
110	737	5908
111	741	5879
112	747	5867
113	751	5837
114	754	5809
115	758	5776
116	764	5769
117	770	5757
118	773	5728
119	780	5721
120	785	5702
121	788	5671
122	791	5644
123	797	5635
124	801	5612
125	805	5586
126	808	5559
127	814	5548
128	818	5528
129	821	5500
130	828	5492
131	834	5485
132	837	5457
133	843	5451
134	847	5427
135	850	5404
136	854	5382
137	860	5375
138	864	5357
139	868	5332
140	871	5309
141	878	5306
142	882	5290
143	885	5265
144	892	5263
145	898	5254
146	901	5230
147	904	5208
148	910	5200
149	914	5183
150	918	5166
151	926	5169
152	930	5150
153	934	5131
154	940	5127
155	951	5148
156	962	5167
157	973	5187
158	978	5178
159	982	5159
160	990	5163
161	997	5161
162	1002	5146
163	1008	5141
164	1013	5131
165	1018	5119
166	1026	5122
167	1030	5102
168	1037	5101
169	1040	5081
170	1045	5068
171	1049	5050
172	1056	5049
173	1060	5035
174	1064	5016
175	1069	5008
176	1073	4993
177	1077	4975
178	1080	4955
179	1086	4951
180	1093	4948
181	1096	4929
182	1103	4924
183	1106	4907
184	1110	4891
185	1114	4876
186	1120	4869
187	1124	4857
188	1127	4838
189	1133	4832
190	1137	4817
191	1141	4803
192	1144	4785
193	1150	4780
194	1156	4772
195	1159	4755
196	1163	4741
197	1168	4732
198	1172	4721
199	1176	4704
200	1183	4703
201	1205	4761
202	1209	4747
203	1215	4744
204	1221	4737
205	1224	4720
206	1234	4730
207	1246	4747
208	1253	4745
209	1257	4729
210	1265	4730
211	1269	4718
212	1273	4705
213	1283	4713
214	1296	4733
215	1301	4723
216	1304	4706
217	1308	4693
218	1313	4685
219	1318	4674
220	1322	4662
221	1328	4655
222	1333	4647
223	1337	4632
224	1343	4627
225	1348	4617
226	1352	4605
227	1356	4591
228	1361	4585
229	1366	4575
230	1369	4559
231	1374	4550
232	1379	4539
233	1383	4527
234	1386	4513
235	1392	4507
236	1396	4495
237	1400	4484
238	1404	4471
239	1408	4461
240	1415	4456
241	1418	4442
242	1424	4438
243	1429	4428
244	1432	4414
245	1438	4408
246	1442	4397
247	1446	4387
248	1450	4373
249	1456	4369
250	1460	4357
251	1464	4346
252	1470	4341
253	1474	4329
254	1479	4321
255	1482	4308
256	1488	4304
257	1492	4292
258	1496	4281
259	1499	4268
260	1505	4262
261	1509	4253
262	1513	4240
263	1516	4228
264	1522	4223
265	1527	4214
266	1530	4201
267	1537	4199
268	1543	4194
269	1546	4181
270	1552	4177
271	1559	4174
272	1562	4162
273	1569	4158
274	1574	4150
275	1577	4138
276	1581	4126
277	1586	4120
278	1590	4110
279	1594	4099
280	1600	4094
281	1605	4089
282	1609	4078
283	1613	4066
284	1618	4061
285	1623	4053
286	1626	4041
287	1632	4036
288	1636	4026
289	1640	4016
290	1643	4004
291	1649	3999
292	1653	3988
293	1657	3979
294	1660	3969
295	1666	3963
296	1671	3956
297	1675	3946
298	1679	3937
299	1685	3931
300	1689	3923
301	1692	3912
302	1699	3908
303	1702	3898
304	1706	3888
305	1709	3877
306	1715	3872
307	1719	3862
308	1723	3854
309	1729	3850
310	1736	3846
311	1739	3836
312	1747	3835
313	1750	3825
314	1754	3815
315	1757	3805
316	1765	3803
317	1782	3823
318	1786	3813
319	1789	3802
320	1795	3798
321	1799	3789
322	1804	3782
323	1811	3778
324	1817	3774
325	1824	3771
326	1828	3762
327	1832	3754
328	1837	3747
329	1844	3744
330	1848	3736
331	1852	3727
332	1858	3722
333	1866	3722
334	1871	3715
335	1876	3708
336	1880	3700
337	1887	3696
338	1920	3745
339	1924	3736
340	1928	3726
341	1933	3720
342	1937	3710
343	1941	3701
344	1945	3693
345	1959	3704
346	1964	3697
347	1971	3692
348	1976	3686
349	1980	3678
350	1985	3671
351	1989	3663
352	1993	3653
353	1998	3647
354	2004	3641
355	2008	3633
356	2016	3631
357	2022	3626
358	2025	3616
359	2031	3610
360	2035	3602
361	2039	3593
362	2042	3584
363	2049	3581
364	2055	3575
365	2059	3566
366	2065	3562
367	2069	3554
368	2073	3545
369	2079	3540
